timeSeries,Azimuth (rad),Range (km),Speed (km/s),Heading (rad),x-axis,y-axis
990,3.2989019101795862,98.94413266000001,0.12,0.193844314,-97.7224094407591,-15.500712271773729
1000,3.2989019101795862,98.94413266000001,0.12,0.193844314,-97.7224094407591,-15.500712271773729
1010,3.298346439179586,97.74539191999999,0.12,0.211297606,-96.54696126672756,-15.259289359449431
1020,3.2975605801795864,96.54783802,0.12,0.228750899,-95.3759055440199,-14.997388705849852
1030,3.296535933179586,95.35188734,0.12,0.246204191,-94.20959897050692,-14.715090251721678
1040,3.295263775179586,94.1579722,0.12,0.263657484,-93.04839683349783,-14.412479853650645
1050,3.2937350591795864,92.96654170000001,0.12,0.281110776,-91.89265281614202,-14.089649891669632
1060,3.291940399179586,91.77806256999999,0.12,0.298564069,-90.74271899116708,-13.746698483378433
1070,3.289870073179586,90.59302011,0.12,0.316017361,-89.59894562054218,-13.383730284864134
1080,3.2875140101795863,89.41191911,0.12,0.333470654,-88.46168113982328,-13.000855696815371
1090,3.2848617941795863,88.23528482,0.12,0.350923946,-87.33127193983839,-12.59819148276919
1100,3.2819026561795863,87.063664,0.12,0.368377239,-86.2080623759286,-12.17586015412869
1110,3.2786254811795863,85.89762596999999,0.12,0.385830531,-85.09239457514636,-11.733990487026103
1120,3.2750188061795864,84.73776369000001,0.12,0.403283824,-83.98460838762549,-11.272717026496741
1130,3.2710708291795862,83.58469488,0.12,0.420737116,-82.88504124847262,-10.792180290455224
1140,3.266769418179586,82.43906317999999,0.12,0.438190409,-81.79402809937845,-10.292526671042364
1150,3.2621021241795862,81.3015393,0.12,0.455643701,-80.71190128142702,-9.773908332219312
1160,3.257056200179586,80.17282218,0.12,0.473096994,-79.63899041345057,-9.23648321777442
1170,3.251618626179586,79.05364019999999,0.12,0.490550286,-78.57562231610635,-8.680415111483095
1180,3.245776136179586,77.94475231,0.12,0.508003579,-77.52212090558264,-8.105873362413005
1190,3.2395152571795864,76.84694917,0.12,0.525456871,-76.47880707464739,-7.513033021052689
1200,3.2328223511795864,75.76105426999999,0.12,0.542910164,-75.44599863677246,-6.902074601307331
1210,3.225683671179586,74.68792496,0.12,0.560363456,-74.42401019987803,-6.273184247177961
1220,3.2180854221795863,73.62845338999999,0.12,0.577816749,-73.4131530715154,-5.626553536726574
1230,3.2100138341795863,72.58356735,0.12,0.595270042,-72.41373516137412,-4.962379392020971
1240,3.201455249179586,71.554231,0.12,0.612723334,-71.42606090272201,-4.28086415598611
1250,3.1923962171795863,70.54144538,0.12,0.630176627,-70.45043114979225,-3.582215391054124
1260,3.1828236101795864,69.54624874,0.12,0.647629919,-69.48714308833249,-2.8666459892280756
1270,3.172724745179586,68.5697166,0.12,0.665083212,-68.53649015473486,-2.13437388342506
1280,3.1620875281795864,67.61296149,0.12,0.682536504,-67.59876191677687,-1.3856221588663655
1290,3.1509006091795864,66.67713239,0.12,0.699989797,-66.67424402291337,-0.6206188255174894
1300,3.139153558,65.76341371,0.12,0.717443089,-65.76321809066428,0.16040309330503488
1310,3.126837054,64.87302382,0.12,0.734896382,-64.86596162037905,0.9572056277516556
1320,3.113943089,64.00721306999999,0.12,0.752349674,-63.98274792199568,1.7695460826820797
1330,3.100465189,63.167261229999994,0.12,0.769802967,-63.11384604845012,2.597176981185194
1340,3.086398644,62.35447421,0.12,0.787256259,-62.259520648174686,3.439846314163653
1350,3.071740756,61.57018023,0.12,0.804709552,-61.42003198790111,4.297297308761289
1360,3.056491084,60.81572505,0.12,0.822162844,-60.59563575923992,5.169268835214657
1370,3.040651702,60.09246659,0.12,0.839616137,-59.786583099095445,6.055495207265952
1380,3.024227445,59.401768600000004,0.12,0.857069429,-58.99312043456288,6.9557065925113655
1390,3.00722616,58.74499358,0.12,0.874522722,-58.215489481709724,7.869628651924167
1400,2.989658928,58.123494830000006,0.12,0.891976014,-57.45392711442549,8.796983027340737
1410,2.971540272,57.538607709999994,0.12,0.909429307,-56.70866528089442,9.73748731782229
1420,2.952888337,56.99164024,0.12,0.926882599,-55.979931030872706,10.690854924856223
1430,2.933725019,56.48386294,0.12,0.944335892,-55.26794631827685,11.656795545293477
1440,2.914076061,56.01649825,0.12,0.961789184,-54.5729280531807,12.635014835551853
1450,2.893971078,55.59070949,0.12,0.979242477,-53.895087909270494,13.625214892014807
1460,2.87344353,55.207589760000005,0.12,0.996695769,-53.234632381262685,14.62709411811777
1470,2.852530622,54.86815069,0.12,1.014149062,-52.59176264361006,15.640347252498225
1480,2.831273125,54.57331165,0.12,1.031602355,-51.96667451994189,16.664665726813976
1490,2.809715131,54.323889300000005,0.12,1.049055647,-51.35955842906577,17.69973747404277
1500,2.809715131,54.323889300000005,0.12,1.049055647,-51.35955842906577,17.69973747404277
1510,2.787934985,54.11025365,0.12,1.049055647,-50.76149046821589,18.7400809900215
1520,2.765992678,53.922482790000004,0.12,1.049055647,-50.16342248604787,19.78042453346524
1530,2.743907739,53.76084776,0.12,1.049055647,-49.56535451531344,20.820768084900106
1540,2.721700506,53.62558487,0.12,1.049055647,-48.96728652095205,21.861111669459085
1550,2.699392027,53.516894099999995,0.12,1.049055647,-48.36921855690743,22.901455200592316
1560,2.677003941,53.434937590000004,0.12,1.049055647,-47.77115057534225,23.941798761897022
1570,2.654558363,53.37983848,0.12,1.049055647,-47.17308259780605,24.982142309486925
1580,2.632077752,53.35167998,0.12,1.049055647,-46.57501462226438,26.022485846363548
1590,2.609584778,53.35050476000001,0.12,1.049055647,-45.9769466438955,27.06282940586903
1600,2.587102187,53.37631459,0.12,1.049055647,-45.378878665686464,28.103172957080005
1610,2.564652662,53.42907037,0.12,1.049055647,-44.78081070635518,29.14351648452871
1620,2.542258685,53.50869238999999,0.12,1.049055647,-44.18274273376715,30.18386002169685
1630,2.519942405,53.61506096,0.12,1.049055647,-43.58467474095154,31.224203584238573
1640,2.49772551,53.7480173,0.12,1.049055647,-42.986606773023134,32.26454713493715
1650,2.475629102,53.90736466,0.12,1.049055647,-42.388538795022576,33.30489068303756
1660,2.453673586,54.09286982,0.12,1.049055647,-41.79047083004295,34.34523421330529
1670,2.431878564,54.30426472,0.12,1.049055647,-41.192402855892205,35.385577764644744
1680,2.410262745,54.54124831,0.12,1.049055647,-40.594334879912594,36.42592130434849
1690,2.388843862,54.80348865,0.12,1.049055647,-39.996266899516606,37.46626485671224
1700,2.367638605,55.09062506,0.12,1.049055647,-39.39819890728856,38.50660842457079
1710,2.346662567,55.40227045,0.12,1.049055647,-38.800130957317954,39.54695195220385
1720,2.325930197,55.7380137,0.12,1.049055647,-38.20206297395453,40.58729549693352
1730,2.305454776,56.09742216,0.12,1.049055647,-37.60399500534692,41.627639047093496
1740,2.285248396,56.480044029999995,0.12,1.049055647,-37.00592701654622,42.66798260144007
1750,2.265321957,56.88541091,0.12,1.049055647,-36.40785905595496,43.70832613314385
1760,2.245685169,57.31304019,0.12,1.049055647,-35.80979108603568,44.74866968072944
1770,2.22634657,57.762437420000005,0.12,1.049055647,-35.21172309424588,45.789013239352165
1780,2.20731355,58.23309865,0.12,1.049055647,-34.61365510972726,46.829356800253876
1790,2.188592382,58.724512589999996,0.12,1.049055647,-34.015587121852455,47.86970035093945
1800,2.170188262,59.23616277,0.12,1.049055647,-33.41751916485796,48.91004388242036
1810,2.152105351,59.76752949,0.12,1.049055647,-32.81945116977369,49.95038744847591
1820,2.134346829,60.31809166,0.12,1.049055647,-32.22138318939186,50.99073098972536
1830,2.116914944,60.887328589999996,0.12,1.049055647,-31.62331525176002,52.03107451623917
1840,2.099811066,61.47472151,0.12,1.049055647,-31.025247244178136,53.07141809081112
1850,2.083035751,62.079755039999995,0.12,1.049055647,-30.427179286513354,54.111761628067306
1860,2.066588791,62.70191852,0.12,1.049055647,-29.829111323347508,55.15210516152634
1870,2.050469276,63.34070719,0.12,1.049055647,-29.23104332302665,56.19244872379791
1880,2.034675653,63.995623200000004,0.12,1.049055647,-28.632975338727974,57.23279227862445
1890,2.01920578,64.66617655,0.12,1.049055647,-28.034907373571976,58.27313581875451
1900,2.004056982,65.3518859,0.12,1.049055647,-27.436839430231405,59.31347935137777
1910,1.989226103,66.05227923,0.12,1.049055647,-26.83877142140448,60.35382291178821
1920,1.974709562,66.76689444,0.12,1.049055647,-26.240703471366864,61.39416645325432
1930,1.960503395,67.49527979,0.12,1.049055647,-25.64263549902394,62.43450999723294
1940,1.946603306,68.23699433,0.12,1.049055647,-25.04456752648201,63.47485354535239
1950,1.933004708,68.99160815,0.12,1.049055647,-24.446499508493986,64.5151971004069
1960,1.919702767,69.75870266,0.12,1.049055647,-23.84843156360786,65.55554064121661
1970,1.906692434,70.53787066,0.12,1.049055647,-23.250363560345185,66.59588419383483
1980,1.893968487,71.32871650999999,0.12,1.049055647,-22.65229558636694,67.63622774543097
1990,1.881525559,72.13085609,0.12,1.049055647,-22.054227631388173,68.67657128787957
2000,1.881525559,72.13085609,0.12,1.049055647,-22.054227631388173,68.67657128787957
2010,1.869260863,72.93621711,0.12,1.031602355,-21.447111573952295,69.71164301213607
2020,1.857073228,73.73691684,0.12,1.014149062,-20.822023389934756,70.73596148366181
2030,1.844959736,74.53286552,0.12,0.996695769,-20.17915367055518,71.74921462819314
2040,1.832917604,75.32397514,0.12,0.979242477,-19.518698136226323,72.75109383341403
2050,1.820944182,76.11015936000001,0.12,0.961789184,-18.840858005194054,73.74129390940135
2060,1.809036943,76.89133343,0.12,0.944335892,-18.145839757484424,74.7195132220435
2070,1.797193475,77.66741415,0.12,0.926882599,-17.433855004386515,75.68545382326545
2080,1.785411479,78.4383198,0.12,0.909429307,-16.70512076593342,76.63882144998482
2090,1.773688757,79.20397007,0.12,0.891976014,-15.95985896345375,77.57932570418565
2100,1.762023209,79.96428603,0.12,0.874522722,-15.198296560396146,78.50668011035687
2110,1.750412829,80.71919008,0.12,0.857069429,-14.420665602668988,79.4206021807136
2120,1.738855698,81.46860588,0.12,0.839616137,-13.627202992593807,80.32081350826455
2130,1.727349978,82.21245836,0.12,0.822162844,-12.818150319684921,81.20703991635636
2140,1.715893911,82.95067361,0.12,0.804709552,-11.993754048212743,82.07901142304122
2150,1.704485814,83.68317894,0.12,0.787256259,-11.154265393957104,82.93646243375245
2160,1.693124073,84.40990274,0.12,0.769802967,-10.299940058510996,83.77913174154612
2170,1.681807139,85.13077453,0.12,0.752349674,-9.43103812868822,84.60676268415502
2180,1.67053353,85.84572490000001,0.12,0.734896382,-8.547824450187239,85.4191031372682
2190,1.659301821,86.55468549,0.12,0.717443089,-7.650567979418407,86.21590566632769
2200,1.648110645,87.25758895999999,0.12,0.699989797,-6.7395420403159125,86.99692755608744
2210,1.636958689,87.95436896000001,0.12,0.682536504,-5.815024144829723,87.76193088889318
2220,1.625844691,88.64496015,0.12,0.665083212,-4.877295883641806,88.51068265954399
2230,1.614767439,89.32929811,0.12,0.647629919,-3.9266429712435,89.2429547684389
2240,1.603725766,90.00731938,0.12,0.630176627,-2.9633549324633788,89.9585241626249
2250,1.592718549,90.67896144,0.12,0.612723334,-1.9877251216644063,90.65717289149111
2260,1.58174471,91.34416264,0.12,0.595270042,-1.0000509169862584,91.33868811498337
2270,1.570803207,92.00286225,0.12,0.577816749,-0.0006329985623711739,92.00286224782242
2280,1.559893039,92.65500042,0.12,0.560363456,1.0102241187470333,92.64949298328675
2290,1.54901324,93.30051814,0.12,0.542910164,2.0322125606395014,93.27838333344359
2300,1.538162879,93.93935729,0.12,0.525456871,3.065021032850659,93.88934174935119
2310,1.527341059,94.57146057,0.12,0.508003579,4.108334857167401,94.48218212469718
2320,1.516546914,95.19677151,0.12,0.490550286,5.161836205180624,95.0567238701084
2330,1.505779606,95.81523447,0.12,0.473096994,6.225204346529186,95.6127919652231
2340,1.495038329,96.42679463,0.12,0.455643701,7.298115236994655,96.15021703877608
2350,1.484322303,97.03139797,0.12,0.438190409,8.38024206278451,96.66883538649702
2360,1.473630774,97.62899127,0.12,0.420737116,9.471255225332749,97.16848903247566
2370,1.462963014,98.21952209,0.12,0.403283824,10.570822327411532,97.64902577553089
2380,1.452318317,98.80293877999999,0.12,0.385830531,11.678608557676027,98.11029922348114
2390,1.441696003,99.37919049,0.12,0.368377239,12.794276301998105,98.55216890741592
2400,1.43109541,99.9482271,0.12,0.350923946,13.917485924872203,98.974500180421
2410,1.420515901,100.50999929999999,0.12,0.333470654,15.047895101955294,99.3771644407635
2420,1.409956856,101.06445849999999,0.12,0.316017361,16.18515961298892,99.76003899458085
2430,1.399417677,101.6115569,0.12,0.298564069,17.32893287671573,100.12300725106202
2440,1.38889778,102.15124739999999,0.12,0.281110776,18.47886675930762,100.46595855645712
2450,1.378396604,102.6834838,0.12,0.263657484,19.634610738719743,100.78878859498121
2460,1.367913601,103.2082205,0.12,0.246204191,20.79581288677487,101.09139896724581
2470,1.35744824,103.7254126,0.12,0.228750899,21.96211951971654,101.37369740342868
2480,1.347000008,104.2350161,0.12,0.211297606,23.133175177464516,101.63559803324816
2490,1.336568403,104.7369877,0.12,0.193844314,24.308623338843365,101.87702107855428
2500,1.336568403,104.7369877,0.12,0.193844314,24.308623338843365,101.87702107855428
2510,1.326194661,105.2407917,0.12,0.193844314,25.48614849480094,102.10818024303315
2520,1.31592086,105.7558125,0.12,0.193844314,26.66367370037345,102.33933936827601
2530,1.305747702,106.281887,0.12,0.193844314,27.841198744082597,102.5704984718962
2540,1.295675788,106.8188521,0.12,0.193844314,29.01872389564172,102.80165770759821
2550,1.285705627,107.3665441,0.12,0.193844314,30.19624907308067,103.03281678132322
2560,1.275837638,107.9247999,0.12,0.193844314,31.373774215033375,103.2639759304238
2570,1.26607215,108.4934564,0.12,0.193844314,32.55129939049535,103.4951351011681
2580,1.256409409,109.0723508,0.12,0.193844314,33.72882443097742,103.72629421483522
2590,1.246849576,109.6613212,0.12,0.193844314,34.906349604292444,103.95745343472244
2600,1.237392736,110.2602059,0.12,0.193844314,36.08387475462526,104.18861256299995
2610,1.228038898,110.86884429999999,0.12,0.193844314,37.26139987173601,104.41977167192157
2620,1.218787998,111.4870767,0.12,0.193844314,38.4389250159334,104.65093078769597
2630,1.209639904,112.11474439999999,0.12,0.193844314,39.616450124706425,104.88208994577663
2640,1.200594417,112.7516898,0.12,0.193844314,40.793975237765075,105.11324910331729
2650,1.191651275,113.3977566,0.12,0.193844314,41.97150044590956,105.34440826276379
2660,1.182810159,114.05278969999999,0.12,0.193844314,43.14902551823411,105.57556741585245
2670,1.17407069,114.71663559999999,0.12,0.193844314,44.32655065961206,105.80672658202799
2680,1.165432437,115.3891421,0.12,0.193844314,45.504075846832365,106.03788566309552
2690,1.15689492,116.0701588,0.12,0.193844314,46.6816009894948,106.26904484804037
2700,1.148457609,116.7595367,0.12,0.193844314,47.859126164130124,106.50020400545964
2710,1.140119931,117.45712850000001,0.12,0.193844314,49.036651265911956,106.73136309487877
2720,1.13188127,118.1627889,0.12,0.193844314,50.21417640940781,106.96252225967203
2730,1.123740971,118.8763741,0.12,0.193844314,51.39170156379808,107.19368138813344
2740,1.115698343,119.5977423,0.12,0.193844314,52.56922670299448,107.42484054959719
2750,1.107752661,120.32675350000001,0.12,0.193844314,53.74675176389243,107.65599975236071
2760,1.099903166,121.0632696,0.12,0.193844314,54.92427694029223,107.88715886901632
2770,1.092149073,121.80715450000001,0.12,0.193844314,56.10180211125449,108.11831800049663
2780,1.084489569,122.55827400000001,0.12,0.193844314,57.279327247466234,108.34947713734825
2790,1.076923816,123.31649589999999,0.12,0.193844314,58.456852363088586,108.58063627026128
2800,1.069450954,124.0816901,0.12,0.193844314,59.634377462333966,108.81179551295124
2810,1.062070101,124.85372819999999,0.12,0.193844314,60.81190256413248,109.04295461867278
2820,1.054780358,125.63248420000001,0.12,0.193844314,61.98942770256712,109.27411376612238
2830,1.047580809,126.41783389999999,0.12,0.193844314,63.16695283985547,109.50527291822738
2840,1.040470523,127.2096552,0.12,0.193844314,64.344477987177,109.73643209372439
2850,1.033448555,128.0078279,0.12,0.193844314,65.52200318283,109.96759114659751
2860,1.026513951,128.8122341,0.12,0.193844314,66.69952832653054,110.19875033253125
2870,1.019665744,129.6227576,0.12,0.193844314,67.87705348615904,110.42990943519541
2880,1.012902961,130.43928449999999,0.12,0.193844314,69.0545786019767,110.661068650973
2890,1.00622462,131.26170259999998,0.12,0.193844314,70.23210366390204,110.89222779074176
2900,0.999629733,132.089902,0.12,0.193844314,71.40962884970287,111.123386908055
2910,0.99311731,132.9237746,0.12,0.193844314,72.58715396237012,111.35454608391515
2920,0.986686355,133.7632143,0.12,0.193844314,73.7646791194774,111.58570524161352
2930,0.980335871,134.6081169,0.12,0.193844314,74.9422042767919,111.81686435193781
2940,0.97406486,135.4583803,0.12,0.193844314,76.11972946620787,112.04802354120643
2950,0.967872324,136.313904,0.12,0.193844314,77.29725452637854,112.27918269387906
2960,0.961757264,137.1745897,0.12,0.193844314,78.47477966680871,112.51034181624894
2970,0.955718685,138.04034090000002,0.12,0.193844314,79.65230479400967,112.74150104016888
2980,0.949755592,138.9110627,0.12,0.193844314,80.82982994787896,112.97266010429381
2990,0.943866996,139.7866624,0.12,0.193844314,82.00735507147641,113.20381927793942
3000,0.943866996,139.7866624,0.12,0.193844314,82.00735507147641,113.20381927793942
3010,0.937785527,140.6304883,0.12,0.106577851,83.19346607583229,113.38333846639804
3020,0.931274726,141.402584,0.12,0.019311388,84.39070962193063,113.45879821055763
3030,0.924380296,142.0982875,0.12,-0.067955074,85.58997415775073,113.42962414690537
3040,0.917148258,142.71345689999998,0.12,-0.155221537,86.78213232184122,113.29603828035027
3050,0.909624824,143.24447560000002,0.12,-0.242487999,87.95811127152457,113.05905736147413
3060,0.901856312,143.688255,0.12,-0.329754462,89.10896089282825,112.72048488870792
3070,0.893889082,144.0422377,0.12,-0.417020925,90.22592277849253,112.28289763090727
3080,0.885769503,144.30439859999998,0.12,-0.504287387,91.30049601921282,111.74962586941123
3090,0.877543931,144.47324650000002,0.12,-0.59155385,92.32450250219463,111.12472808503077
3100,0.869258707,144.5478249,0.12,-0.678820312,93.29014882063167,110.41296036401458
3110,0.860960155,144.527712,0.12,-0.766086775,94.19008598904256,109.61973926867238
3120,0.852694601,144.4130217,0.12,-0.853353238,95.01746484918463,108.75110211008729
3130,0.844508375,144.2044026,0.12,-0.9406197,95.7659885392427,107.81365947005291
3140,0.836447824,143.9030385,0.12,-1.027886163,96.42996036689898,106.81454598120416
3150,0.82855931,143.51064739999998,0.12,-1.115152625,97.00432720174734,105.76136544742349
3160,0.820889203,143.0294805,0.12,-1.202419088,97.48471753351106,104.66213326466952
3170,0.81348385,142.4623211,0.12,-1.289685551,97.86747548031396,103.52521517152066
3180,0.806389533,141.8124823,0.12,-1.376952013,98.14968797311232,102.35926380581537
