timeSeries,Azimuth (rad),Range (m)
1840,2.093593818,61585.67502
1850,2.09656294,62071.44902
1860,2.079660624,62745.17437
1870,2.044355552,63457.62399
1880,2.036033301,64019.54312
1890,2.001976434,64560.30596
1900,2.013022954,65207.96085
1910,1.984344349,65968.45567
1920,1.980544434,66922.28836
1930,1.971669992,67441.86531
1940,1.953294455,68166.83072
1950,1.940256506,69178.44799
1960,1.92383824,69897.14641
1970,1.899301413,70459.98385
1980,1.888571153,71346.11922
1990,1.877650456,72079.27569
2000,1.87093582,72148.56727
2010,1.872904585,72963.33443
2020,1.859339478,73860.17179
2030,1.857461188,74558.85324
2040,1.842145963,75262.26508
2050,1.813757249,76061.55841
2060,1.80921623,76979.60192
2070,1.78348698,77607.18179
2080,1.773878218,78288.45028
2090,1.76566505,79183.80336
2100,1.770230875,79892.87147
2110,1.752672603,80746.01277
2120,1.74319353,81544.24046
2130,1.724144739,82172.80772
2140,1.706493653,83144.82897
2150,1.689359945,83517.98872
2160,1.686603681,84335.50515
2170,1.68351948,85247.03678
2180,1.663477433,85716.29638
2190,1.668770243,86536.01187
2200,1.641418576,87365.49776
2210,1.645364405,87892.64593
2220,1.626408077,88673.37752
2230,1.62391182,89341.62223
2240,1.597437593,89995.47992
2250,1.600244697,90777.26343
2260,1.586786466,91457.18999
2270,1.582526076,92024.45921
2280,1.562425778,92485.46666
2290,1.553471746,93421.58583
2300,1.536108212,93956.7831
2310,1.529572171,94390.66649
2320,1.53059406,95179.24333
2330,1.49158374,95829.84883
2340,1.494517469,96376.83139
2350,1.488197322,97095.07366
2360,1.474791835,97681.9936
2370,1.467773034,98307.28551
2380,1.451144174,98811.16954
2390,1.432793122,99402.3388
2400,1.421269815,99890.10598
2410,1.412248351,100699.4847
2420,1.411558019,100998.4535
2430,1.385848778,101695.8313
2440,1.389686121,102121.6454
2450,1.389660184,102557.3619
2460,1.358105604,103219.6789
2470,1.361249805,103646.6926
2480,1.359397104,104267.2388
2490,1.330444174,104624.1448
2500,1.343941912,104785.1649
2510,1.315375354,105128.0593
2520,1.313985314,105852.5708
2530,1.305050809,106125.7843
2540,1.309287626,106938.3676
2550,1.278179396,107551.3165
2560,1.274454638,107967.1005
2570,1.262672334,108558.5876
2580,1.250980734,109326.0753
2590,1.240244972,109579.9805
2600,1.243967694,110297.0893
