timeSeries,Azimuth (rad),Range (m),Speed (m/s),Heading (rad)
1190,-3.04367005,76846.94917,120,0.525456871
1200,-3.050362956,75761.05427,120,0.542910164
1210,-3.057501636,74687.92496,120,0.560363456
1220,-3.065099885,73628.45339,120,0.577816749
1230,-3.073171473,72583.56735,120,0.595270042
1240,-3.081730058,71554.231,120,0.612723334
1250,-3.09078909,70541.44538,120,0.630176627
1260,-3.100361697,69546.24874,120,0.647629919
1270,-3.110460562,68569.7166,120,0.665083212
1280,-3.121097779,67612.96149,120,0.682536504
1290,-3.132284698,66677.13239,120,0.699989797
1300,3.139153558,65763.41371,120,0.717443089
1310,3.126837054,64873.02382,120,0.734896382
1320,3.113943089,64007.21307,120,0.752349674
1330,3.100465189,63167.26123,120,0.769802967
1340,3.086398644,62354.47421,120,0.787256259
1350,3.071740756,61570.18023,120,0.804709552
1360,3.056491084,60815.72505,120,0.822162844
1370,3.040651702,60092.46659,120,0.839616137
1380,3.024227445,59401.7686,120,0.857069429
1390,3.00722616,58744.99358,120,0.874522722
1400,2.989658928,58123.49483,120,0.891976014
1410,2.971540272,57538.60771,120,0.909429307
1420,2.952888337,56991.64024,120,0.926882599
1430,2.933725019,56483.86294,120,0.944335892
1440,2.914076061,56016.49825,120,0.961789184
1450,2.893971078,55590.70949,120,0.979242477
1460,2.87344353,55207.58976,120,0.996695769
1470,2.852530622,54868.15069,120,1.014149062
1480,2.831273125,54573.31165,120,1.031602355
1490,2.809715131,54323.8893,120,1.049055647
1500,2.809715131,54323.8893,120,1.049055647
1510,2.787934985,54110.25365,120,1.049055647
1520,2.765992678,53922.48279,120,1.049055647
1530,2.743907739,53760.84776,120,1.049055647
1540,2.721700506,53625.58487,120,1.049055647
1550,2.699392027,53516.8941,120,1.049055647
1560,2.677003941,53434.93759,120,1.049055647
1570,2.654558363,53379.83848,120,1.049055647
1580,2.632077752,53351.67998,120,1.049055647
1590,2.609584778,53350.50476,120,1.049055647
1600,2.587102187,53376.31459,120,1.049055647
1610,2.564652662,53429.07037,120,1.049055647
1620,2.542258685,53508.69239,120,1.049055647
1630,2.519942405,53615.06096,120,1.049055647
1640,2.49772551,53748.0173,120,1.049055647
1650,2.475629102,53907.36466,120,1.049055647
1660,2.453673586,54092.86982,120,1.049055647
1670,2.431878564,54304.26472,120,1.049055647
1680,2.410262745,54541.24831,120,1.049055647
1690,2.388843862,54803.48865,120,1.049055647
1700,2.367638605,55090.62506,120,1.049055647
1710,2.346662567,55402.27045,120,1.049055647
1720,2.325930197,55738.0137,120,1.049055647
1730,2.305454776,56097.42216,120,1.049055647
1740,2.285248396,56480.04403,120,1.049055647
1750,2.265321957,56885.41091,120,1.049055647
1760,2.245685169,57313.04019,120,1.049055647
1770,2.22634657,57762.43742,120,1.049055647
1780,2.20731355,58233.09865,120,1.049055647
1790,2.188592382,58724.51259,120,1.049055647
1800,2.170188262,59236.16277,120,1.049055647
1810,2.152105351,59767.52949,120,1.049055647
1820,2.134346829,60318.09166,120,1.049055647
1830,2.116914944,60887.32859,120,1.049055647
1840,2.099811066,61474.72151,120,1.049055647
1850,2.083035751,62079.75504,120,1.049055647
1860,2.066588791,62701.91852,120,1.049055647
1870,2.050469276,63340.70719,120,1.049055647
1880,2.034675653,63995.6232,120,1.049055647
1890,2.01920578,64666.17655,120,1.049055647
1900,2.004056982,65351.8859,120,1.049055647
1910,1.989226103,66052.27923,120,1.049055647
1920,1.974709562,66766.89444,120,1.049055647
1930,1.960503395,67495.27979,120,1.049055647
1940,1.946603306,68236.99433,120,1.049055647
1950,1.933004708,68991.60815,120,1.049055647
1960,1.919702767,69758.70266,120,1.049055647
1970,1.906692434,70537.87066,120,1.049055647
1980,1.893968487,71328.71651,120,1.049055647
1990,1.881525559,72130.85609,120,1.049055647
2000,1.881525559,72130.85609,120,1.049055647
2010,1.869260863,72936.21711,120,1.031602355
2020,1.857073228,73736.91684,120,1.014149062
2030,1.844959736,74532.86552,120,0.996695769
2040,1.832917604,75323.97514,120,0.979242477
2050,1.820944182,76110.15936,120,0.961789184
2060,1.809036943,76891.33343,120,0.944335892
2070,1.797193475,77667.41415,120,0.926882599
2080,1.785411479,78438.3198,120,0.909429307
2090,1.773688757,79203.97007,120,0.891976014
2100,1.762023209,79964.28603,120,0.874522722
2110,1.750412829,80719.19008,120,0.857069429
2120,1.738855698,81468.60588,120,0.839616137
2130,1.727349978,82212.45836,120,0.822162844
2140,1.715893911,82950.67361,120,0.804709552
2150,1.704485814,83683.17894,120,0.787256259
2160,1.693124073,84409.90274,120,0.769802967
2170,1.681807139,85130.77453,120,0.752349674
2180,1.67053353,85845.7249,120,0.734896382
2190,1.659301821,86554.68549,120,0.717443089
2200,1.648110645,87257.58896,120,0.699989797
2210,1.636958689,87954.36896,120,0.682536504
2220,1.625844691,88644.96015,120,0.665083212
2230,1.614767439,89329.29811,120,0.647629919
2240,1.603725766,90007.31938,120,0.630176627
2250,1.592718549,90678.96144,120,0.612723334
2260,1.58174471,91344.16264,120,0.595270042
2270,1.570803207,92002.86225,120,0.577816749
2280,1.559893039,92655.00042,120,0.560363456
2290,1.54901324,93300.51814,120,0.542910164
2300,1.538162879,93939.35729,120,0.525456871
2310,1.527341059,94571.46057,120,0.508003579
2320,1.516546914,95196.77151,120,0.490550286
2330,1.505779606,95815.23447,120,0.473096994
2340,1.495038329,96426.79463,120,0.455643701
2350,1.484322303,97031.39797,120,0.438190409
2360,1.473630774,97628.99127,120,0.420737116
2370,1.462963014,98219.52209,120,0.403283824
2380,1.452318317,98802.93878,120,0.385830531
2390,1.441696003,99379.19049,120,0.368377239
2400,1.43109541,99948.2271,120,0.350923946
2410,1.420515901,100509.9993,120,0.333470654
2420,1.409956856,101064.4585,120,0.316017361
2430,1.399417677,101611.5569,120,0.298564069
2440,1.38889778,102151.2474,120,0.281110776
2450,1.378396604,102683.4838,120,0.263657484
2460,1.367913601,103208.2205,120,0.246204191
2470,1.35744824,103725.4126,120,0.228750899
2480,1.347000008,104235.0161,120,0.211297606
2490,1.336568403,104736.9877,120,0.193844314
2500,1.336568403,104736.9877,120,0.193844314
2510,1.326194661,105240.7917,120,0.193844314
2520,1.31592086,105755.8125,120,0.193844314
2530,1.305747702,106281.887,120,0.193844314
2540,1.295675788,106818.8521,120,0.193844314
2550,1.285705627,107366.5441,120,0.193844314
2560,1.275837638,107924.7999,120,0.193844314
